file	size_view	view	strength	algo	F1_score
magic.arff	3	54	0.194900213505004	NaiveBayes	0.433850933613626
magic.arff	3	55	0.143576736096288	NaiveBayes	0.465034156454398
magic.arff	3	56	0.164750295645185	NaiveBayes	0.384990617396583
magic.arff	3	57	0.142714160933421	NaiveBayes	0.231153074809453
magic.arff	3	58	0.201327222387107	NaiveBayes	0.454160690968449
magic.arff	3	59	0.402747485015865	NaiveBayes	0.572492413679412
magic.arff	3	60	0.206022293374105	NaiveBayes	0.380806704688487
magic.arff	3	61	0.242090626039281	NaiveBayes	0.44426628666795
magic.arff	3	62	0.416464250756844	NaiveBayes	0.542498435863457
magic.arff	3	63	0.12779556843525	NaiveBayes	0.230706431987075
magic.arff	3	64	0.496101789008591	NaiveBayes	0.609542069068964
magic.arff	3	65	0.563125409621023	NaiveBayes	0.585082696250124
magic.arff	3	66	0.22009714434867	NaiveBayes	0.415783200410672
magic.arff	3	67	0.23292550583383	NaiveBayes	0.446673006804797
magic.arff	3	68	0.1676734405826	NaiveBayes	0.428812307882815
magic.arff	3	69	0.428478350907113	NaiveBayes	0.61971456339678
magic.arff	3	70	0.184967638743878	NaiveBayes	0.382993557476845
magic.arff	3	71	0.127795568435248	NaiveBayes	0.230706431987075
magic.arff	3	72	0.105351209912341	NaiveBayes	0.398844975144263
magic.arff	3	73	0.142991263660579	NaiveBayes	0.386758463308936
magic.arff	3	74	0.391436940936195	NaiveBayes	0.611527929689545
magic.arff	3	75	0.148840535563768	NaiveBayes	0.447691240289861
magic.arff	3	76	0.325433587095093	NaiveBayes	0.609522465558096
magic.arff	3	77	0.274422428370732	NaiveBayes	0.437931480702247
magic.arff	3	78	0.273521674910075	NaiveBayes	0.433405570477235
magic.arff	3	79	0.319759151102174	NaiveBayes	0.590465775174549
magic.arff	3	80	0.420899413271915	NaiveBayes	0.608308883903605
magic.arff	3	81	0.046042702945801	NaiveBayes	0.131915050863086
magic.arff	3	82	0.327436137383751	NaiveBayes	0.598845695861726
magic.arff	3	83	0.242090626039285	NaiveBayes	0.44426628666795
magic.arff	3	84	0.134359818133166	NaiveBayes	0.437929344729968
magic.arff	3	85	0.303131072636488	NaiveBayes	0.594918532854362
magic.arff	3	86	0.437928239948651	NaiveBayes	0.562913516228512
magic.arff	3	87	0.209437640923541	NaiveBayes	0.442310758364245
magic.arff	3	88	0.20943764092365	NaiveBayes	0.442310758364245
magic.arff	3	89	0.142760337158927	NaiveBayes	0.37816182064222
magic.arff	3	90	0.124690894418627	NaiveBayes	0.456177829393248
magic.arff	3	91	0.431140171370739	NaiveBayes	0.58831891998433
magic.arff	3	92	0.244449922903121	NaiveBayes	0.450170714768081
magic.arff	3	93	0.319759151102147	NaiveBayes	0.590465775174549
magic.arff	3	94	0.420899413271949	NaiveBayes	0.608308883903605
magic.arff	3	95	0.258993234964548	NaiveBayes	0.438271325130082
magic.arff	3	96	0.163542778619697	NaiveBayes	0.430183891737729
magic.arff	3	97	0.220827916879976	NaiveBayes	0.459289057889985
magic.arff	3	98	0.150850353536078	NaiveBayes	0.442769504806466
magic.arff	3	99	0.269347377785264	NaiveBayes	0.442881925964811
magic.arff	3	100	0.416464250756951	NaiveBayes	0.542498435863457
magic.arff	3	101	0.251829883334604	NaiveBayes	0.446803929169295
magic.arff	3	102	0.326426357480402	NaiveBayes	0.576517610088546
magic.arff	3	103	0.400174685864133	NaiveBayes	0.571869099427234
magic.arff	3	104	0.21017211234952	NaiveBayes	0.415026679235138
magic.arff	3	105	0.246480429631925	NaiveBayes	0.44957183691672
magic.arff	3	106	0.215514681872124	NaiveBayes	0.448569096251292
magic.arff	3	107	0.230252750617447	NaiveBayes	0.429806516251108
magic.arff	3	108	0.0789169780696719	NaiveBayes	0.369857877512625
magic.arff	3	109	0.170852010289886	NaiveBayes	0.450384618688892
magic.arff	3	110	0.209546381989388	NaiveBayes	0.458549568722657
magic.arff	3	111	0.19388333655918	NaiveBayes	0.436788841419979
magic.arff	3	112	0.56312540962101	NaiveBayes	0.585082696250124
magic.arff	3	113	0.186494619815576	NaiveBayes	0.445251512872645
magic.arff	3	114	0.156421459232864	NaiveBayes	0.455777217857165
magic.arff	3	115	0.212246345949595	NaiveBayes	0.386836802050671
magic.arff	3	116	0.227479693265529	NaiveBayes	0.459223794514376
magic.arff	3	117	0.189157420304086	NaiveBayes	0.427839261560448
magic.arff	3	118	0.41809893721422	NaiveBayes	0.580554058179094
magic.arff	3	119	0.31107427998429	NaiveBayes	0.596707274226857
magic.arff	3	120	0.360587908090723	NaiveBayes	0.570005860809971
magic.arff	3	121	0.256848923728308	NaiveBayes	0.428661462909562
magic.arff	3	122	0.16264004404917	NaiveBayes	0.430924636625093
magic.arff	3	123	0.360468777715425	NaiveBayes	0.542180471485555
magic.arff	3	124	0.241393210086654	NaiveBayes	0.430512782866205
magic.arff	3	125	0.215969681702592	NaiveBayes	0.396332554098413
magic.arff	3	126	0.148199247350909	NaiveBayes	0.431149352735439
magic.arff	3	127	0.290770742831663	NaiveBayes	0.431185115636788
magic.arff	3	128	0.402747485015968	NaiveBayes	0.572492413679412
magic.arff	3	129	0.551964927029516	NaiveBayes	0.581799378790841
magic.arff	3	130	0.27227300136831	NaiveBayes	0.387274447062024
magic.arff	3	131	0.166699495452358	NaiveBayes	0.396352382470617
magic.arff	3	132	0.529754213204519	NaiveBayes	0.618736367211969
magic.arff	3	133	0.30434975741243	NaiveBayes	0.594295261645462
magic.arff	3	134	0.253871595952756	NaiveBayes	0.426740150696058
magic.arff	3	135	0.216347197753885	NaiveBayes	0.463902557005247
magic.arff	3	136	0.249579385201661	NaiveBayes	0.41627031852628
magic.arff	3	137	0.184139356025816	NaiveBayes	0.44445348266208
magic.arff	3	138	0.209546381989394	NaiveBayes	0.458549568722657
magic.arff	3	139	0.325433587095098	NaiveBayes	0.609522465558096
magic.arff	3	140	0.127795568435264	NaiveBayes	0.230706431987075
magic.arff	3	141	0.15736361998834	NaiveBayes	0.439056309295229
magic.arff	3	142	0.291950167344382	NaiveBayes	0.4397592339899
magic.arff	3	143	0.29334149584094	NaiveBayes	0.560485294024596
magic.arff	3	144	0.134359818133166	NaiveBayes	0.437929344729968
magic.arff	3	145	0.194900213505003	NaiveBayes	0.433850933613626
magic.arff	3	146	0.223046326818888	NaiveBayes	0.437398329021891
magic.arff	3	147	0.391233409093319	NaiveBayes	0.572782786676759
magic.arff	3	148	0.237512756135501	NaiveBayes	0.436669386608317
magic.arff	3	149	0.441308330313525	NaiveBayes	0.562915891321978
magic.arff	3	150	0.396197244211946	NaiveBayes	0.589037127937731
